------------------------------------------------------------------------------------
Date: 12/20/2024 -- 14:10:27 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 2819
capture.afpacket.polls                        | Total                     | 2380
capture.afpacket.poll_timeout                 | Total                     | 148
capture.afpacket.poll_data                    | Total                     | 2232
decoder.pkts                                  | Total                     | 3107
decoder.bytes                                 | Total                     | 3059704
decoder.ipv4                                  | Total                     | 3107
decoder.ethernet                              | Total                     | 3107
decoder.tcp                                   | Total                     | 3104
decoder.udp                                   | Total                     | 3
decoder.avg_pkt_size                          | Total                     | 984
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 8
flow.active                                   | Total                     | 8
flow.tcp                                      | Total                     | 6
flow.udp                                      | Total                     | 2
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
app_layer.flow.failed_udp                     | Total                     | 2
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 6
flow.mgr.flows_notimeout                      | Total                     | 6
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 12/20/2024 -- 14:10:35 (uptime: 0d, 00h 00m 16s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 6977
capture.afpacket.polls                        | Total                     | 5161
capture.afpacket.poll_timeout                 | Total                     | 406
capture.afpacket.poll_data                    | Total                     | 4755
decoder.pkts                                  | Total                     | 7285
decoder.bytes                                 | Total                     | 7357494
decoder.ipv4                                  | Total                     | 7285
decoder.ethernet                              | Total                     | 7285
decoder.tcp                                   | Total                     | 7268
tcp.syn                                       | Total                     | 2
tcp.synack                                    | Total                     | 2
tcp.rst                                       | Total                     | 2
decoder.udp                                   | Total                     | 16
decoder.icmpv4                                | Total                     | 1
decoder.avg_pkt_size                          | Total                     | 1009
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 2
flow.total                                    | Total                     | 18
flow.active                                   | Total                     | 18
flow.tcp                                      | Total                     | 9
flow.udp                                      | Total                     | 9
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
tcp.sessions                                  | Total                     | 2
tcp.ssn_from_pool                             | Total                     | 2
tcp.segment_from_cache                        | Total                     | 1
tcp.segment_from_pool                         | Total                     | 6
detect.alert                                  | Total                     | 1
detect.alerts_suppressed                      | Total                     | 3
app_layer.flow.tls                            | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 3
app_layer.tx.dns_udp                          | Total                     | 9
app_layer.flow.failed_udp                     | Total                     | 6
flow.mgr.full_hash_pass                       | Total                     | 1
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 14
flow.mgr.flows_notimeout                      | Total                     | 14
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 475136
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 12/20/2024 -- 14:10:43 (uptime: 0d, 00h 00m 24s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 7823
capture.afpacket.polls                        | Total                     | 5775
capture.afpacket.poll_timeout                 | Total                     | 611
capture.afpacket.poll_data                    | Total                     | 5164
decoder.pkts                                  | Total                     | 8106
decoder.bytes                                 | Total                     | 8210223
decoder.ipv4                                  | Total                     | 8105
decoder.ipv6                                  | Total                     | 1
decoder.ethernet                              | Total                     | 8106
decoder.tcp                                   | Total                     | 8084
tcp.syn                                       | Total                     | 2
tcp.synack                                    | Total                     | 2
tcp.rst                                       | Total                     | 2
decoder.udp                                   | Total                     | 21
decoder.icmpv4                                | Total                     | 1
decoder.avg_pkt_size                          | Total                     | 1012
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 2
flow.total                                    | Total                     | 21
flow.active                                   | Total                     | 21
flow.tcp                                      | Total                     | 9
flow.udp                                      | Total                     | 12
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
tcp.sessions                                  | Total                     | 2
tcp.ssn_from_pool                             | Total                     | 2
tcp.segment_from_cache                        | Total                     | 12
tcp.segment_from_pool                         | Total                     | 9
detect.alert                                  | Total                     | 1
detect.alerts_suppressed                      | Total                     | 4
app_layer.flow.tls                            | Total                     | 2
app_layer.flow.dns_udp                        | Total                     | 3
app_layer.tx.dns_udp                          | Total                     | 9
app_layer.flow.failed_udp                     | Total                     | 9
flow.mgr.full_hash_pass                       | Total                     | 2
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 20
flow.mgr.flows_notimeout                      | Total                     | 20
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 479232
http.memuse                                   | Total                     | 447
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 12/20/2024 -- 14:10:51 (uptime: 0d, 00h 00m 32s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 11564
capture.afpacket.polls                        | Total                     | 8583
capture.afpacket.poll_timeout                 | Total                     | 879
capture.afpacket.poll_data                    | Total                     | 7704
decoder.pkts                                  | Total                     | 11920
decoder.bytes                                 | Total                     | 11971824
decoder.ipv4                                  | Total                     | 11917
decoder.ipv6                                  | Total                     | 1
decoder.ethernet                              | Total                     | 11920
decoder.arp                                   | Total                     | 2
decoder.tcp                                   | Total                     | 11878
tcp.syn                                       | Total                     | 6
tcp.synack                                    | Total                     | 6
tcp.rst                                       | Total                     | 4
decoder.udp                                   | Total                     | 37
decoder.icmpv4                                | Total                     | 3
decoder.avg_pkt_size                          | Total                     | 1004
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 6
flow.total                                    | Total                     | 30
flow.active                                   | Total                     | 30
flow.tcp                                      | Total                     | 13
flow.udp                                      | Total                     | 17
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
tcp.sessions                                  | Total                     | 6
tcp.ssn_from_pool                             | Total                     | 6
tcp.segment_from_cache                        | Total                     | 32
tcp.segment_from_pool                         | Total                     | 24
tcp.overlap                                   | Total                     | 1
detect.alert                                  | Total                     | 3
detect.alerts_suppressed                      | Total                     | 5
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 3
app_layer.flow.failed_tcp                     | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 6
app_layer.tx.dns_udp                          | Total                     | 23
app_layer.flow.failed_udp                     | Total                     | 11
flow.mgr.full_hash_pass                       | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 26
flow.mgr.flows_notimeout                      | Total                     | 26
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 499712
http.memuse                                   | Total                     | 4824
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 12/20/2024 -- 14:10:59 (uptime: 0d, 00h 00m 40s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 15645
capture.afpacket.polls                        | Total                     | 11523
capture.afpacket.poll_timeout                 | Total                     | 1161
capture.afpacket.poll_data                    | Total                     | 10362
decoder.pkts                                  | Total                     | 15661
decoder.bytes                                 | Total                     | 15681729
decoder.ipv4                                  | Total                     | 15658
decoder.ipv6                                  | Total                     | 1
decoder.ethernet                              | Total                     | 15661
decoder.arp                                   | Total                     | 2
decoder.tcp                                   | Total                     | 15619
tcp.syn                                       | Total                     | 6
tcp.synack                                    | Total                     | 6
tcp.rst                                       | Total                     | 5
decoder.udp                                   | Total                     | 37
decoder.icmpv4                                | Total                     | 3
decoder.avg_pkt_size                          | Total                     | 1001
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 6
flow.total                                    | Total                     | 30
flow.active                                   | Total                     | 28
flow.tcp                                      | Total                     | 13
flow.udp                                      | Total                     | 17
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
tcp.sessions                                  | Total                     | 6
tcp.ssn_from_pool                             | Total                     | 6
tcp.segment_from_cache                        | Total                     | 58
tcp.segment_from_pool                         | Total                     | 29
tcp.overlap                                   | Total                     | 2
detect.alert                                  | Total                     | 5
detect.alerts_suppressed                      | Total                     | 5
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 2
app_layer.flow.tls                            | Total                     | 4
app_layer.flow.failed_tcp                     | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 6
app_layer.tx.dns_udp                          | Total                     | 23
app_layer.flow.failed_udp                     | Total                     | 11
flow.end.state.new                            | Total                     | 2
flow.mgr.full_hash_pass                       | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9601
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 36
flow.mgr.flows_notimeout                      | Total                     | 34
flow.mgr.flows_timeout                        | Total                     | 2
flow.mgr.flows_evicted                        | Total                     | 2
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 2
flow.recycler.queue_max                       | Total                     | 1
